Date,Time,URL,Title,Location,Committee,Date Scraped,video_url
7/22/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=65B2FBBB-9AD4-4A3E-84EC-2148406B271D,Stopping the Spread: Examining the Increased Risk of Zoonotic Disease from Illegal Wildlife Trafficking,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw072220&auto_play=false
7/1/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=3DDCB73F-C8C2-44F2-823E-68D9EE05A9F8,"Better, Faster, Cheaper, Smarter, and Stronger: Infrastructure Development Opportunities to Drive Economic Recovery and Resiliency",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw070120&auto_play=false
7/1/20,9:45 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=2A336F30-E500-4DCC-8B3E-B048ABBE7492,Committee Business Meeting,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw070120&auto_play=false
6/17/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=9243CF3C-41EA-4D1C-A4A4-E60CAA9F503B,Responding to the Challenges Facing Recycling in the United States,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw061720&auto_play=false
6/4/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=60F7F92C-AE2B-40BB-ABEC-2626F1B5D4E3,Infrastructure: The Road to Recovery,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw060420&auto_play=false
5/20/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=AEBB7217-CF07-4D4F-B661-BD0A8996A2DB,Oversight of the Environmental Protection Agency,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw052020&auto_play=false
5/19/20,3:00 PM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=BC706CD0-0BB7-4FEB-9D09-B8E99DFC3205,"Hearing on the Nominations of Beth Harwell and Brian Noland to be Members of the Board of Directors, and Katherine Crytzer to be Inspector General of the Tennessee Valley Authority",,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw051920&auto_play=false
5/6/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=9FCA8E00-0044-4E06-8304-B5AD6A266F8E,Committee Business Meeting,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw050620&auto_play=false
4/22/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=509FF3A2-00BF-40C3-B410-ECFF10189AC5,"An Information-Gathering Process on Draft Legislation entitled, America’s Water Infrastructure Act of 2020 and The Drinking Water Infrastructure Act of 2020: Stakeholder Comments",,Enviroment,2021-09-07,
3/25/20,9:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=AD135031-18BB-4802-BE96-FAEE3ABDF120,"S. 2754, American Innovation and Manufacturing Act of 2019: Written Testimony and Questions for the Record",,Enviroment,2021-09-07,
3/11/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=35FAC322-B10D-445C-8A86-F895E94791CD,Nominations Hearing,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw031120&auto_play=false
3/4/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=ED3A18CD-EAB6-472A-B8F6-C6D6F7E6CCF7,Oversight of the Nuclear Regulatory Commission,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw030420&auto_play=false
2/11/20,9:45 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=EEEE04C3-5403-445C-B2CD-5BA357296184,Committee Business Meeting,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw021120&auto_play=false
2/5/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=DD14A2E8-3F51-4148-BF1A-1AFA0122A591,Oversight of the U.S. Fish and Wildlife Service,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw020520&auto_play=false
1/29/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=AC86E1F2-3A8A-473E-80BB-7F338CAC16F6,Stakeholder Perspectives on the Importance of the U.S. Chemical Safety and Hazard Investigation Board,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw012920&auto_play=false
