,id,Witnesses,count
404,17841,Mary Landrieu,8
405,21784,Raymond E. Mabus,8
406,1543,Antony J. Blinken,8
407,20908,Peter B. Lyons,8
408,13477,John W. Snow,8
409,1573,Arden L. Bement Jr.,8
410,1580,Ari Schwartz,8
411,21008,Peter Kirsanow,8
412,14132,Jr,8
413,14134,Jr. (Ret.),8
414,15244,Kevin J. Martin,8
415,27703,W. Patrick Ragsdale,8
416,2409,Bob Graham,8
417,17565,Mark W. Everson,8
418,22015,Rex Tillerson,8
419,6224,David Walker,8
420,20894,Peter Allgeier,8
421,7498,Edmund Mierzwinski,8
422,11821,Jelena Mcwilliams,8
423,26635,Thomas Scully,8
424,28380,William W. Millar,8
425,14849,Keith Hall,8
426,19848,Nicholas J. Rasmussen,8
427,26136,Terrence A. Duffy,8
428,20741,Paul Schott Stevens,8
429,14330,Julius Genachowski,8
430,17392,Mark J. Mazur,8
431,11254,Jane Harman,8
432,22624,Robert A. Mcdonald,8
433,26993,Todd Moss,8
434,2457,Bob Stallman,8
435,16118,Leonard E. Burman,8
436,22520,Rick Santorum,8
437,4983,Damon Silvers,8
438,5016,Dan G. Blair,8
439,17329,Mark E. Miller,8
440,14492,Karen S. Evans,8
441,2394,Bob Casey,8
442,17088,Margo Thorning,8
443,2213,Bill Cassidy,8
444,10028,Hilary O. Shelton,8
445,7730,Elisa Massimino,8
447,16019,Lee H. Hamilton,8
448,25344,Steve Daines,7
449,13232,John P. Holdren,7
450,25697,Stuart Pratt,7
451,13392,John Stephenson,7
452,5792,David Hawkins,7
453,5231,Daniel K. Akaka,7
454,22513,Rick Perry,7
455,5783,David Hale,7
456,1539,Antonio R. Villaraigosa,7
458,25762,Susan Bodine,7
459,2534,Brad Smith,7
460,2786,Brian P. Mckeon,7
461,9266,Gigi B. Sohn,7
463,24010,Sally Jewell,7
464,4041,Chris French,7
465,5725,David Friedman,7
466,24428,Scott M. Polakoff,7
467,23565,Ron His Horse Is Thunder,7
468,26476,Thomas J. Donohue,7
469,10104,Howard Gruenspecht,7
470,21776,Raymond C. Kelley,7
471,13379,John Snow,7
472,352,Adam J. Levitin,7
473,18466,Michael D. Calhoun,7
474,20640,Paul J. Selvaf,7
475,2702,Brian D. Montgomery,7
476,13135,John M. Reich,7
477,18822,Michael O. Leavitt,7
478,3765,Charles Johnson,7
479,13125,John M. Keane (Ret.),7
480,3808,Charles P. Rettig,7
481,14589,Katherine Baicker,7
482,21523,Rachel Weintraub,7
483,17821,Mary Jo White,7
484,21442,R. David Paulison,7
485,26404,Thomas E. Perez,7
486,21489,R.D. James,7
487,17845,Mary Lou Leary,7
488,17012,Marco Rubio,7
489,10326,J. David Cox,7
490,18504,Michael E. Leiter,7
491,4426,Cindy Hyde-Smith,7
492,5282,Daniel R. Coats,7
493,8012,Eric Farnsworth,7
494,12886,John F. Kelly,7
495,22732,Robert Carroll,7
496,25660,Stewart A. Baker,7
497,17321,Mark Dubowitz,7
498,6244,David Wise,7
499,2606,Brenda S. Farrell,7
500,2111,Bernice Steinhardt,7
